,pfaf_id,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area
227,115427,40.188,2.003,29.875,1.489,0.0,0.0,0.0,0.0
228,115428,25.875,1.517,8.688,0.509,0.0,0.0,0.0,0.0
229,115429,157.375,1.58,58.125,0.583,0.0,0.0,0.0,0.0
230,115430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,115440,22.0,0.18,6.125,0.05,0.0,0.0,0.0,0.0
232,115451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,115452,0.0,0.0,0.0,0.0,0.312,0.012,0.0,0.0
234,115453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,115454,28.375,0.634,28.0,0.626,0.0,0.0,0.0,0.0
236,115455,4.312,0.059,0.25,0.003,0.0,0.0,0.0,0.0
237,115456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,115457,0.312,0.049,0.0,0.0,0.0,0.0,0.0,0.0
239,115458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,115459,1.125,0.008,0.5,0.003,0.0,0.0,0.0,0.0
241,115460,0.5,0.007,0.0,0.0,0.0,0.0,0.0,0.0
242,115470,1.188,0.015,1.188,0.015,0.0,0.0,0.0,0.0
243,115480,10.312,0.098,3.625,0.034,0.0,0.0,0.0,0.0
244,115490,11.875,0.229,4.5,0.087,0.0,0.0,0.0,0.0
245,115501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,115502,7.812,0.102,6.188,0.081,0.0,0.0,0.0,0.0
247,115503,2.938,0.458,2.938,0.458,0.0,0.0,0.0,0.0
248,115504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,115505,0.062,0.003,0.062,0.003,0.0,0.0,0.0,0.0
250,115506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,115507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,115508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,115509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,115601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,115602,48.125,0.257,41.875,0.224,11.375,0.061,0.062,0.0
256,115603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,115604,0.688,0.035,0.688,0.035,0.0,0.0,0.0,0.0
258,115605,5.688,0.035,5.438,0.033,0.125,0.001,0.0,0.0
259,115606,0.438,0.03,0.438,0.03,0.0,0.0,0.0,0.0
260,115607,0.938,0.023,0.562,0.014,0.0,0.0,0.0,0.0
261,115608,10.25,0.098,5.0,0.048,0.0,0.0,0.0,0.0
262,115711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,115712,45.438,0.714,40.5,0.636,37.0,0.581,24.438,0.384
264,115713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,115714,9.312,0.044,9.312,0.044,9.125,0.043,8.625,0.041
266,115715,23.0,0.197,22.75,0.194,17.188,0.147,14.5,0.124
267,115716,0.875,0.015,0.75,0.013,0.0,0.0,0.0,0.0
268,115717,2.375,0.009,1.688,0.006,0.188,0.001,0.125,0.0
269,115718,0.312,0.008,0.312,0.008,0.0,0.0,0.0,0.0
